,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
370,18中盈万家2A3,59.41,,,,
371,16湖南债10,99.72,2.8500,,2.8500,
372,20渤海银行CD444,99.20,3.2000,1.0,3.2000,
373,20民生银行CD423,99.36,1.5065,-18.86,1.2920,
374,20民生银行CD099,97.52,2.6999,,2.6999,
375,20中信银行CD316,98.44,3.1682,-8.17,3.1682,
376,20河钢集MTN006,97.86,4.9700,56.86,4.9700,
377,20华夏银行CD461,98.44,3.1682,-8.17,3.1682,
378,18陕西债09,100.45,2.7700,,2.7700,
379,17辽宁债11,101.97,3.3500,,3.3500,
380,20安吉农商银行CD025,98.33,3.3997,,3.3997,
381,17宿马债,80.90,5.5000,,5.6196,
382,20鲁黄金SCP007,99.64,3.2862,-0.74,3.3092,
383,20中交天津MTN001,98.10,7.4974,4.87,7.4974,
384,20农业银行CD131,97.81,2.9500,-20.0,2.9602,
385,20中电投MTN006,97.56,3.6100,,3.6100,
386,17金地MTN001,101.87,3.7900,-32.68,3.7885,
387,20中石化MTN003,96.93,3.5300,-7.12,3.5350,
388,18附息国债04,104.63,3.1200,-2.0,3.1014,
389,18进出04,100.46,2.7834,-0.66,2.7242,
390,19京能源MTN001,99.94,6.4957,0.7,6.4959,
391,16郑州兴港债,69.29,4.6633,59.75,4.6633,
392,19进出09,100.00,2.8993,-1.77,2.8762,
393,20兴业银行CD041,97.15,2.7097,-19.0,2.7502,
394,20物产中大SCP010,99.76,3.5502,-17.97,3.5502,
395,20华菱集团SCP004,99.44,3.8799,-0.01,3.8791,
396,20越秀集团SCP008,99.87,3.0004,-12.9,3.0004,
397,19农发04,100.63,3.3007,0.57,3.2940,
398,20浦发银行CD320,97.10,2.9999,-25.01,3.0012,
399,20华夏银行CD037,97.26,2.6998,-10.02,2.7427,
400,20新疆债31,98.64,3.9800,,3.9879,
401,20广发银行CD011,97.34,2.7498,-35.01,2.7711,
402,20平安银行CD280,98.35,3.4499,74.98,3.4499,
403,20广州地铁MTN003,100.33,3.7282,-0.18,3.7294,
404,20贴现国债46,99.49,1.2986,-9.19,1.3062,
405,19中铝集MTN005,98.85,4.2200,1.64,4.2200,
406,20中电路桥SCP013,99.89,3.2496,-10.03,3.2496,
407,20上海医药SCP004,99.94,3.1005,3.08,3.0960,
408,20中石油MTN001,98.36,3.5100,-3.63,3.5100,
409,20进出清发01,99.84,2.8208,6.51,2.8208,
410,17柳州投资MTN001,100.14,5.5582,45.41,5.5559,
