,price,r,r+1
130,1996.87,-0.040943846,-0.053774157
131,1889.49,-0.053774157,-0.018237726
132,1855.03,-0.018237726,0.020748991
133,1893.52,0.020748991,0.056846508
134,2001.16,0.056846508,0.035259549
135,2071.72,0.035259549,-0.015735717
136,2039.12,-0.015735717,0.010489819
137,2060.51,0.010489819,-0.074884373
138,1906.21,-0.074884373,-0.056997917
139,1797.56,-0.056997917,0.071591491
140,1926.25,0.071591491,0.003659961
141,1933.3,0.003659961,0.025862515
142,1983.3,0.025862515,0.048283164
143,2079.06,0.048283164,-0.000163535
144,2078.72,-0.000163535,-0.000351178
145,2077.99,-0.000351178,0.0137633
146,2106.59,0.0137633,-0.040643884
147,2020.97,-0.040643884,0.050119497
148,2122.26,0.050119497,-0.011162629
149,2098.57,-0.011162629,-0.007576588
150,2082.67,-0.007576588,0.051683656
151,2190.31,0.051683656,0.012030261
152,2216.66,0.012030261,0.045167053
153,2316.78,0.045167053,0.010903064
154,2342.04,0.010903064,-0.015815272
155,2305,-0.015815272,0.043180043
156,2404.53,0.043180043,0.018506735
157,2449.03,0.018506735,-0.006300454
158,2433.6,-0.006300454,0.03187048
159,2511.16,0.03187048,-0.066272161
160,2344.74,-0.066272161,0.048363571
161,2458.14,0.048363571,0.032642567
162,2538.38,0.032642567,-0.004294077
163,2527.48,-0.004294077,0.014433349
164,2563.96,0.014433349,-0.030702507
165,2485.24,-0.030702507,1.61E-05
166,2485.28,1.61E-05,-0.002816584
167,2478.28,-0.002816584,-0.018658102
168,2432.04,-0.018658102,-0.001138962
169,2429.27,-0.001138962,0.063825758
170,2584.32,0.063825758,-0.0075842
171,2564.72,-0.0075842,0.037700022
172,2661.41,0.037700022,0.023750568
173,2724.62,0.023750568,0.00807085
174,2746.61,0.00807085,0.021142426
175,2804.68,0.021142426,-0.007622973
176,2783.3,-0.007622973,-0.026278159
177,2710.16,-0.026278159,0.032101426
178,2797.16,0.032101426,-0.028639763
179,2717.05,-0.028639763,-0.020566423
180,2661.17,-0.020566423,0.041177377
181,2770.75,0.041177377,0.010610845
182,2800.15,0.010610845,-0.010560149
183,2770.58,-0.010560149,0.016411726
184,2816.05,0.016411726,0.02894835
185,2897.57,0.02894835,-0.022215167
186,2833.2,-0.022215167,-0.064820697
187,2649.55,-0.064820697,0.008692042
188,2672.58,0.008692042,-0.006446954
189,2655.35,-0.006446954,-0.015851018
190,2613.26,-0.015851018,0.036299488
191,2708.12,0.036299488,-0.005893387
192,2692.16,-0.005893387,0.017082937
193,2738.15,0.017082937,-0.016978617
194,2691.66,-0.016978617,-0.008823551
195,2667.91,-0.008823551,0.010345177
196,2695.51,0.010345177,-0.008985313
197,2671.29,-0.008985313,0.01421785
198,2709.27,0.01421785,0.013446427
199,2745.7,0.013446427,0.006340824
200,2763.11,0.006340824,0.026271122
201,2835.7,0.026271122,-0.001918398
202,2830.26,-0.001918398,-0.00012013
