,predy,testy
123,-0.004918287,-0.0003511796633088683
124,0.0150230015,0.013763300501141214
125,-0.04016566,-0.04064388359308841
126,0.052903064,0.050119494564865925
127,-0.009525918,-0.01116263053010755
128,-0.0050224555,-0.007576586781163024
129,0.049616084,0.05168365487672527
130,0.011935119,0.012030264396354858
131,0.040426932,0.045167052945779225
132,0.012663673,0.010903062536453113
133,-0.019141417,-0.01581527260108258
134,0.037505876,0.04318004228331106
135,0.012773521,0.018506735339757562
136,-0.0034569255,-0.006300450110688734
137,0.028699297,0.03187047870310747
138,-0.05957619,-0.06627215958425293
139,0.037665978,0.04836356751491762
140,0.029744456,0.03264256442335659
141,-0.0005169235,-0.004294073133945475
142,0.012031912,0.014433344326095172
143,-0.025734518,-0.03070250414297374
144,-0.0030499455,1.6100284023951553e-05
145,-0.008274694,-0.0028165823462578993
146,-0.025154907,-0.018658102911866144
147,0.0079726195,-0.0011389633999263813
148,0.061632615,0.06382575925912871
149,-0.008975568,-0.007584201133214803
150,0.0288415,0.03770002663394992
151,0.016539253,0.02375057198629501
152,0.0051627317,0.008070849218436088
153,0.02112272,0.021142421752428087
154,-0.015478713,-0.00762297207297028
155,-0.017031217,-0.026278158544333574
156,0.02722943,0.0321014282264088
157,-0.022778396,-0.028639761805444666
158,-0.017669827,-0.0205664223586646
159,0.03408893,0.041177381493481116
160,0.004110907,0.01061084381808859
161,0.0022079034,-0.010560148515685987
162,0.009862559,0.01641172538957132
163,0.02874849,0.028948348986270182
164,-0.0070432755,-0.022215164234007295
165,-0.051941887,-0.06482070126056125
166,0.00085569033,0.00869204625664278
167,0.0054232576,-0.006446952159725238
168,-0.025210343,-0.015851016955619992
169,0.043093298,0.03629948390209127
170,-0.019641686,-0.005893383976660201
171,0.01895674,0.017082937706286685
172,-0.016352208,-0.016978616294276643
173,-0.010708298,-0.008823549468807477
174,-0.000848689,0.010345174764991404
175,-0.0048749475,-0.00898531374425217
176,0.0072958902,0.014217853374129149
177,0.014590621,0.013446428522171308
178,-0.0054068603,0.00634082054326515
179,0.027738921,0.026271123649261836
180,-0.0106618265,-0.001918395293790244
181,0.0042829723,-0.00012013436199430358
182,0.007012052,0.003508932870493108
183,0.0040793484,-0.019687659087279975
184,-0.008587332,0.004252965210667188
185,-0.006121259,-0.000375564745477209
186,-0.007490693,-0.021197039164472457
187,-0.0011262345,0.0052385497002071565
188,-0.011054124,0.010797074587012869
189,0.0031380134,-0.023550913139915895
190,0.00097024086,-0.08209502259288398
191,-0.02158413,-0.029908801325138616
192,0.01435928,0.021367710795147533
193,-0.0586836,-0.08582586354222953
194,-0.0038635125,-0.0033370017589440574
195,-0.058722686,-0.06341957907172256
196,0.019152671,0.019545562826852048
