,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
1388,18兖矿MTN001,100.33,3.79,-9.51,3.79,,0.1749,否
1389,17吴中经发MTN002,102.50,4.7798,22.57,4.7784,,3.9041,否
1390,18汇金MTN002,100.49,3.12,-1.69,3.12,,0.2795,否
1391,20中交城投MTN002,98.67,4.3024,,4.3,,2.7151,否
1392,20邵阳城投MTN002,100.25,5.874,,5.874,,2.5589,否
1393,20吉林高速MTN006,99.22,4.8813,,4.8813,,4.9096,否
1394,20日照城投PPN002,99.65,5.5795,18.72,5.578,,4.6466,否
1395,20南电MTN003,98.68,3.6271,-0.53,3.6271,,2.2213,否
1396,20孝感城投MTN002,99.46,4.55,3.43,4.535,,2.8767,否
1397,20海州湾PPN002,99.95,7.499,0.02,7.4997,,4.3123,否
1398,19中国银行小微债01,99.98,3.2659,,3.2701,,0.9945,否
1399,20山煤CP002,97.20,8.0,265.57,8.25,,0.7151,否
1400,20中建材MTN002,96.02,4.0,-10.11,4.0,,4.3534,否
1401,15锡山债,40.57,4.4063,-9.83,4.4201,,1.6164,否
1402,20荆门城建CP001,99.64,4.0927,-9.3,4.0964,,0.6986,否
1403,16渝高速MTN001,100.03,3.1999,,3.1999,,0.1148,否
1404,19浦口交通MTN001,99.65,4.5528,-24.72,4.5528,,1.8822,否
1405,20海安开投SCP003,99.57,5.1,70.33,5.1,,0.6247,否
1406,16鄂联投MTN001,99.97,3.7,,3.7,,0.2329,否
1407,20大足国资CP001,99.82,4.6499,-1.23,4.6499,,0.2158,否
1408,15京首钢MTN002,100.14,2.6999,-24.97,2.6999,,0.0601,否
1409,14孝高创债02,20.23,5.289,-26.11,5.2794,,0.7918,否
1410,20大同煤矿CP004,98.20,7.5501,212.04,7.5909,,0.3781,否
1411,20荣盛地产MTN001,100.00,7.1947,,7.1947,,2.6247,否
1412,19常德城投MTN001,102.89,4.44,25.8,4.4391,,3.537,否
1413,19渝文资MTN001,101.26,4.5794,,4.5794,,3.3644,否
1414,20金华城投SCP001,100.08,3.8575,0.76,3.8538,,0.6877,否
1415,18青岛城投PPN001,100.56,3.74,-2.68,3.7489,,0.2712,否
1416,17泰州城投MTN003,104.33,3.93,-0.25,3.9285,,2.041,否
1417,19淄博城运PPN001,100.89,4.71,,4.7094,,3.5178,否
1418,19灵山MTN001,100.86,4.5814,-7.44,4.5825,,3.0738,否
1419,20华泰证券CP009,100.01,2.2014,20.04,2.2014,,0.0191,否
1420,16南充投资MTN001,99.79,4.157,1.0,4.1535,,0.7315,否
1421,18余姚城投MTN004,101.56,8.2826,0.57,8.2831,,1.0383,是
